Image Name,Area,Perimeter,Eccentricity,prediction
test164,3812.5,242.40916061401367,1.5404236314753015,1
test62,118.0,44.14213538169861,1.3316707071676672,1
test104,53.0,33.31370830535889,3.100860193759928,0
test54,339.5,85.84061932563782,1.410062052866918,1
test134,77.5,35.899494647979736,1.7030234181999864,1
test65,226.5,76.52691113948822,1.1913047091559086,1
test70,286.5,99.84061968326569,3.032853145555246,1
test39,71.5,43.55634880065918,4.216154239960051,1
test102,556.5,114.66904616355896,1.854823471030284,1
test197,259.5,78.52691125869751,1.6601538352578487,1
test38,69.5,39.899494647979736,1.407682411523108,1
test92,199.0,105.59797883033752,2.391127309762945,1
test16,254.5,86.18376529216766,2.0751569475112195,1
test147,85.0,36.485281229019165,1.3297114691524765,1
test150,91.0,42.14213526248932,2.1620200738864064,1
test190,33.5,27.071067690849304,2.1985548990159876,1
test68,771.5,135.49747383594513,1.8345149537852383,1
test170,109.5,49.213202714920044,2.003225194460254,1
test189,671.5,144.3259004354477,2.151070496624488,1
test2,3215.0,223.68123936653137,1.65730544076322,1
test166,626.5,123.01219236850739,2.2951934848207602,1
test3,1851.0,175.68123877048492,1.3408501711663572,1
test6,41.0,28.82842707633972,4.402701588622072,1
test89,56.0,42.97056257724762,2.535688228731333,1
test86,202.5,77.6984840631485,1.4218470342929241,1
test175,266.0,83.11269772052765,2.0877539540828978,1
test169,81.5,44.3847758769989,2.6146933787883078,1
test128,261.5,82.52691090106964,1.544377525442689,1
test126,291.5,76.87005710601807,1.297450868001215,1
test118,42824.0,1010.6072072982788,1.4000987454289335,1
test91,87.0,44.14213526248932,1.60686713525136,0
test144,58.5,32.72792184352875,2.1363281628149204,1
test172,396.0,106.0832599401474,2.640680743061003,1
test59,56.0,30.485281109809875,1.8508467383200482,1
test155,291.5,69.55634891986847,1.7891892182493965,1
test159,850.5,153.63960886001587,2.710209083309712,1
test24,40.0,34.485281229019165,4.327734008043318,0
test108,185.0,72.28427052497864,1.5338946314290038,1
test88,299.5,90.52691125869751,2.8694544258441605,1
test74,183.5,58.52691161632538,1.8244777003726818,1
test30,175.5,80.5269113779068,3.096547509902493,1
test141,36.0,33.3137081861496,3.9086335278728113,1
test7,85.0,37.65685415267944,1.318999060439507,1
test82,1015.5,178.95331752300262,1.6088709935225847,1
test127,47.0,34.485281229019165,3.925479211389828,1
test44,331.5,99.01219236850739,2.9913715703304957,1
test194,581.5,171.7817441225052,2.189876882134015,1
test11,105.5,50.38477611541748,2.090444042116454,1
test191,79.5,45.21320343017578,3.0618832453354408,1
test186,30.5,27.071067690849304,3.1441350049752335,1
test124,132.5,58.3847758769989,1.6871017410120501,1
test23,890.0,129.25483310222626,1.3804783344572416,1
test114,118.0,46.97056221961975,2.0223579216216385,1
test199,95.0,47.455843925476074,1.8778133333547982,1
test60,296.0,101.59797859191895,3.0382745033717415,1
test151,37.0,33.31370830535889,3.185376736518494,1
test98,187.0,74.28427052497864,1.6096537140181997,1
test55,33.0,22.82842707633972,1.5148761692171453,1
test99,23871.0,603.244729757309,1.5428794684570672,1
test85,28.5,24.242640614509583,1,0
test67,352.5,91.35533833503723,2.9801286232711535,1
test69,99.0,60.627416491508484,1.309138612619356,1
test187,1406.5,195.7817441225052,2.738445893047719,1
test178,16.5,18.242640614509583,1,0
test153,50.5,37.55634880065918,2.559096196178358,1
test176,170.5,80.87005698680878,2.6468977570948407,1
test156,27.5,21.071067690849304,1,1
test130,176.5,56.38477575778961,2.1638389950102184,1
test140,496.5,129.154327750206,2.2495061285512787,1
test13,671.5,144.3259004354477,2.151070496624488,1
test106,494.5,153.15432751178741,1.7973493463335999,1
test17,39.5,26.242640614509583,2.2483237832589884,1
test136,457.0,141.05382239818573,2.858991934652585,1
test154,95.5,47.55634903907776,1.6363906418028882,1
test180,531.5,99.69848418235779,1.4760955820790016,1
test145,374.5,86.52691125869751,1.7530561414444916,1
test9,201.0,69.79898953437805,2.9443495674497604,1
test167,1851.0,175.68123877048492,1.3408501711663572,1
test195,32.5,23.071067571640015,1.8050955456304174,1
test8,143.0,50.97056233882904,1.424754163644507,1
test138,483.5,132.81118190288544,2.7041755625922015,1
test42,330.5,71.69848418235779,1.2959695618154499,1
test14,760.0,188.85281193256378,1.3427956014451632,1
test71,128.0,58.627416491508484,2.3040922568332913,1
test179,1166.5,143.78174436092377,1.082142433659948,1
test174,89.5,44.72792184352875,3.18195499891785,1
test181,10.0,14.0,1,0
test185,181.5,70.87005686759949,3.20089260032423,1
test131,97.0,64.28427040576935,3.075262058794382,1
test148,128.5,60.3847758769989,1.5421174655409196,1
test28,23.0,20.82842707633972,1,1
test58,100.5,47.55634880065918,1.837912461357585,1
test20,13.0,14.828427076339722,1,0
test26,439.5,135.98275482654572,2.1390505639593247,1
test94,19.5,17.41421353816986,1,0
test40,101.5,73.35533857345581,1.6525270405591608,1
test78,211.0,102.91168701648712,1.7756764482143281,1
test27,122.5,44.38477575778961,1.5417248742487215,1
test47,146.0,65.9411244392395,2.4324566325182038,1
test158,3523.5,233.9238796234131,1.6040641514946885,1
test139,133.0,53.11269772052765,2.841118040017096,1
test165,66.5,47.55634880065918,2.338991817196402,1
test34,739.0,594.5929267406464,4.044048272736851,1
test171,22.5,25.899494767189026,1,1
test96,2521.0,191.19595873355865,1.309308513341785,1
test109,769.5,114.18376553058624,1.4487066691895438,1
test143,565.5,92.52691125869751,1.175454802365865,1
test112,9.0,12.0,1,0
test4,225.0,94.42640614509583,2.01232373023753,1
test107,29.0,23.656854152679443,1,1
test12,521.0,96.42640578746796,1.2856152713082787,1
test77,175.0,49.79898953437805,1.2165211948256882,1
test121,502.5,94.52691125869751,1.9746507694471567,1
test75,102.5,47.899494767189026,2.2715177334570744,1
test119,131.0,46.627416491508484,1.6595986613566505,1
test37,88.0,48.485281229019165,4.536075209010659,1
test200,101.0,72.62741661071777,4.713390889324509,1
test184,742.5,113.01219248771667,1.472200566611066,1
test46,49.0,34.485281109809875,5.6199472858253925,0
test111,952.0,623.8477599620819,1.5089328484593003,1
test192,320.5,71.55634891986847,1.5641996182105455,1
test163,806.0,116.56854128837585,1.343907331422456,1
test129,2.0,6.0,1,0
test115,377.5,81.21320307254791,1.4111043492215187,1
test160,83.0,36.97056221961975,1.5832445478391963,1
test120,94.5,65.0710676908493,6.164178704978728,1
test19,291.0,100.76955187320709,1.429172833906131,1
test41,161.0,61.79898941516876,1.765037002218477,1
test183,508.5,86.87005710601807,1.2656915165454472,1
test29,51.5,34.72792160511017,2.366448932419718,1
test56,111.5,53.21320295333862,1.759725111541615,1
test173,12.0,14.0,1,0
test50,67.0,33.31370830535889,1.3822439452007065,1
test81,29.5,23.071067690849304,1,1
test1,83.0,40.1421355009079,1.2253893103212254,1
test57,32.0,22.82842707633972,1.6240941371345288,1
test142,23774.0,604.274165391922,1.5663512082977367,1
test33,674.0,170.56854128837585,1.2285663999550342,1
test193,199.5,74.04162979125977,2.125211100532411,1
test132,516.5,96.04163026809692,1.3347058121930262,1
test83,360.0,95.94112503528595,2.777821776996819,1
test137,105.0,59.455843687057495,2.107620639461938,1
test110,44.0,27.313708186149597,1.8785129952137365,1
test123,84.5,43.55634880065918,1.6241008277396525,1
test152,196.5,82.18376529216766,1.8963267142576965,1
test52,28.5,25.899494767189026,1,1
test5,20.0,19.656854033470154,1,1
test100,12.0,14.0,1,0
test117,30.0,28.485281109809875,2.742449508290103,1
test53,420.5,88.1837649345398,1.514498634190104,1
test79,97.0,52.97056245803833,3.0767672867655174,1
test76,55.5,38.24264061450958,3.380760157803304,1
test25,942.0,625.0193327665329,1.7589945343581728,1
test95,44.5,33.899494767189026,4.0316947116008155,1
test168,303.0,100.7695517539978,1.4654384090948982,1
test146,42.5,31.071067690849304,2.2202998982303415,0
test177,45.5,42.3847758769989,2.675624137145257,1
test162,197.5,62.870057225227356,1.7384667844978183,1
test43,177.5,87.35533821582794,1.5890655789779722,1
test15,758.0,592.9360725879669,3.756982223820457,1
test188,23.5,25.899494647979736,1,1
test48,521.0,94.7695517539978,1.2777321087814522,1
test161,61.0,38.485281229019165,2.6795180904086884,1
test32,99.5,41.899494886398315,1.6409948486949002,0
test97,79.0,38.97056221961975,1.3160079869587007,1
test10,459.5,93.69848430156708,2.354534447171618,1
test122,502.5,123.49747359752655,2.428396986366747,1
test73,77.5,52.38477575778961,2.1303029276767917,1
test21,286.0,93.59797871112823,1.7143105943577341,1
test64,54.0,44.82842707633972,5.859410644369419,1
test116,133.0,53.79898929595947,1.5074363834894502,1
test198,1453.0,209.68123853206635,1.0854514252655911,1
test105,73.0,52.627416491508484,3.3308403749517326,1
test125,101.0,45.79898965358734,1.4658180466636448,1
test182,360.0,127.05382287502289,2.435136737542942,1
test80,96.5,52.3847758769989,2.1539775318126666,1
test51,170.5,83.35533821582794,2.8304409026428488,1
test36,117.5,62.52691209316254,2.245182393552514,1
test66,820.0,119.59797894954681,1.3112380760289717,1
test35,410.0,114.08325982093811,1.4890847773672609,1
test63,82.5,51.21320283412933,4.259167420579846,1
test133,232.0,72.28427076339722,2.551653869462986,1
test103,82.0,38.485281229019165,2.408358560732536,1
test87,1211.0,133.74011421203613,1.1608019719569664,1
test113,1018.0,625.8477599620819,1.8197015796749916,1
test101,17.0,16.82842707633972,1,0
test49,75.0,33.65685415267944,1.4259562214676762,1
test196,134.5,54.38477575778961,2.3298916529216944,1
test157,218.0,97.59797894954681,1.9374130683973072,1
test18,40.0,27.313708305358887,1.5258323757040073,1
test84,6.0,11.656854152679443,1,0
test93,424.5,89.35533821582794,1.4224212129556881,1
test149,249.5,68.87005722522736,2.132022823729744,1
test90,359.5,76.52691113948822,1.2994555706265887,1
